# C++(参考, oracle) 测试 ↔ Rust(移植) 测试的等价映射表 —— emf-ecore 模块
#
# 列: group<TAB>cpp_test<TAB>rust_test<TAB>pkg
#   group    : emf-ecore 内的大类(EClassImpl / DynamicEObject / DataTypeUtil / ...)
#   cpp_test : C++ 单元测试名(来自 emf-cpp/emf-ecore/tests, 以 EMF_TEST 注册)
#   rust_test: 对应的 Rust 测试路径(compare.py 会用 `cargo test -p <pkg> <path> -- --exact` 单独跑)
#   pkg      : 所属 crate(emf-ecore 或 emf-common)
#
# 规则:
#   - 已映射且 Rust 同名校验通过 => PASS(行为等价)
#   - 已映射但 Rust 测试缺失 => PENDING(等价待实现, 可接受)
#   - 未映射的 C++ 测试 => PENDING(尚未核对), 逐步补齐
#   - 已映射但 Rust 测试失败 => REGRESSION(必须修复)
# 以 # 开头的行为注释, 忽略。

group	cpp_test	rust_test	pkg
EClassImpl	EClassImpl_CreateEClassAndAttribute	eclass_create_eclass_and_attribute	emf-ecore
EClassImpl	EClassImpl_FeatureIDLookup	eclass_feature_id_lookup	emf-ecore
EClassImpl	EClassImpl_IsSuperTypeOf	eclass_is_super_type_of	emf-ecore
EClassImpl	EClassImpl_AbstractAndInterface	eclass_abstract_and_interface	emf-ecore
EClassImpl	EClassImpl_GetEStructuralFeatureByID	eclass_get_structural_feature_by_id	emf-ecore
EClassImpl	EClassImpl_GetEAllSuperTypes_TransitiveClosure	eclass_get_all_super_types_transitive_closure	emf-ecore
EClassImpl	EClassImpl_GetEAllSuperTypes_Multilevel	eclass_get_all_super_types_multilevel	emf-ecore
EClassImpl	EClassImpl_GetEAllAttributes_InheritsFromParent	eclass_get_all_attributes_inherits_from_parent	emf-ecore
EClassImpl	EClassImpl_GetEAllReferences_IncludesInherited	eclass_get_all_references_includes_inherited	emf-ecore
EClassImpl	EClassImpl_GetEAllContainments_OnlyContainmentRefs	eclass_get_all_containments_only_containment_refs	emf-ecore
EClassImpl	EClassImpl_GetEAllOperations_InheritsFromParent	eclass_get_all_operations_inherits_from_parent	emf-ecore
EClassImpl	EClassImpl_GetEAllStructuralFeatures_IncludesInherited	eclass_get_all_structural_features_includes_inherited	emf-ecore
EClassImpl	EClassImpl_GetEAllGenericSuperTypes_Transitive	eclass_get_all_generic_super_types_transitive	emf-ecore
EClassImpl	EClassImpl_GetEIDAttribute_FindsIDMarked	eclass_get_eid_attribute_finds_id_marked	emf-ecore
EClassImpl	EClassImpl_GetFeatureCount_OwnAndInherited	eclass_get_feature_count_own_and_inherited	emf-ecore
EClassImpl	EClassImpl_GetEOperation_ByOperationID	eclass_get_eoperation_by_operation_id	emf-ecore
EClassImpl	EClassImpl_GetOverride_FindsParentMethod	eclass_get_override_finds_parent_method	emf-ecore
EClassImpl	EClassImpl_GetFeatureType_NoCrash	eclass_get_feature_type_no_crash	emf-ecore
EClassImpl	EClassImpl_IsSuperTypeOf_WithInheritance	eclass_is_super_type_of_with_inheritance	emf-ecore
EPackageImpl	EPackageImpl_CreateAndGetClassifier	epackage_create_and_get_classifier	emf-ecore
EPackageImpl	EPackageImpl_RegisteredInGlobalRegistry	epackage_registered_in_registry	emf-ecore
EPackageImpl	EPackageImpl_Accessors	epackage_accessors	emf-ecore
EcorePackage	EcorePackage_Initialize	ecore_package_initialize	emf-ecore
EcorePackage	EcorePackage_MetaEClassesNonNull	ecore_package_meta_eclasses_non_null	emf-ecore
EcorePackage	EcorePackage_BuiltInDataTypesNonNull	ecore_package_builtin_data_types_non_null	emf-ecore
EcorePackage	EcorePackage_RegisteredToGlobalRegistry	ecore_package_registered_to_global_registry	emf-ecore
EcorePackage	EcorePackage_NamespaceConstants	ecore_package_namespace_constants	emf-ecore
EcorePackage	EcorePackage_FeatureIDConstants	ecore_package_feature_id_constants	emf-ecore
DataTypeUtil	DataTypeUtil_EStringFromTo	datatype_estring_from_to	emf-ecore
DataTypeUtil	DataTypeUtil_EIntFromTo	datatype_eint_from_to	emf-ecore
DataTypeUtil	DataTypeUtil_EBooleanFromTo	datatype_eboolean_from_to	emf-ecore
DataTypeUtil	DataTypeUtil_EDoubleFromTo	datatype_edouble_from_to	emf-ecore
DataTypeUtil	DataTypeUtil_DefaultValues	datatype_default_values	emf-ecore
DataTypeUtil	DataTypeUtil_NameOfEDataType	datatype_name_of_edata_type	emf-ecore
ETypedElement	ETypedElement_Defaults	ettypedelement_defaults	emf-ecore
DynamicEObject	DynamicEObject_EClass_ReturnsConstructorClass	dynamic_eobject::eclass_returns_constructor_class	emf-ecore
DynamicEObject	DynamicEObject_ESetEGet_StringAttribute	dynamic_eobject::eset_eget_string_attribute	emf-ecore
DynamicEObject	DynamicEObject_ESetEGet_IntAttribute	dynamic_eobject::eset_eget_int_attribute	emf-ecore
DynamicEObject	DynamicEObject_ESetEGet_ByFeatureID	dynamic_eobject::eset_eget_by_feature_id	emf-ecore
DynamicEObject	DynamicEObject_ESetEGet_ByFeatureID_Int	dynamic_eobject::eset_eget_by_feature_id_int	emf-ecore
DynamicEObject	DynamicEObject_EGet_UnsetAttribute_Empty	dynamic_eobject::eget_unset_attribute_empty	emf-ecore
DynamicEObject	DynamicEObject_EGet_NullFeature_Empty	dynamic_eobject::eget_null_feature_empty	emf-ecore
DynamicEObject	DynamicEObject_EGet_WithResolveFlag	dynamic_eobject::eget_with_resolve_flag	emf-ecore
DynamicEObject	DynamicEObject_EIsSet_DefaultFalse	dynamic_eobject::eis_set_default_false	emf-ecore
DynamicEObject	DynamicEObject_EIsSet_AfterSetTrue	dynamic_eobject::eis_set_after_set_true	emf-ecore
DynamicEObject	DynamicEObject_EIsSet_NullFeature_False	dynamic_eobject::eis_set_null_feature_false	emf-ecore
DynamicEObject	DynamicEObject_EIsSet_ByFeatureID	dynamic_eobject::eis_set_by_feature_id	emf-ecore
DynamicEObject	DynamicEObject_EUnset_ClearsValue	dynamic_eobject::eunset_clears_value	emf-ecore
DynamicEObject	DynamicEObject_EUnset_ByFeatureID	dynamic_eobject::eunset_by_feature_id	emf-ecore
DynamicEObject	DynamicEObject_EUnset_NullFeature_NoOp	dynamic_eobject::eunset_null_feature_no_op	emf-ecore
DynamicEObject	DynamicEObject_ESet_NullFeature_NoOp	dynamic_eobject::eset_null_feature_no_op	emf-ecore
DynamicEObject	DynamicEObject_ESet_OverwriteAttribute	dynamic_eobject::eset_overwrite_attribute	emf-ecore
BasicEObject	BasicEObject_EClass_ReturnsSetClass	dynamic_eobject::b_eclass_returns_set_class	emf-ecore
BasicEObject	BasicEObject_EContainer_DefaultNull	dynamic_eobject::b_econtainer_default_null	emf-ecore
BasicEObject	BasicEObject_EDynamicGet_Unset_ReturnsEmpty	dynamic_eobject::edynamic_get_unset_returns_empty	emf-ecore
BasicEObject	BasicEObject_EDynamicSet_ThenGet	dynamic_eobject::edynamic_set_then_get	emf-ecore
BasicEObject	BasicEObject_EDynamicSet_DistinctFeatures	dynamic_eobject::edynamic_set_distinct_features	emf-ecore
BasicEObject	BasicEObject_EDynamicSet_Overwrite	dynamic_eobject::edynamic_set_overwrite	emf-ecore
BasicEObject	BasicEObject_EDynamicIsSet_DefaultFalse	dynamic_eobject::edynamic_is_set_default_false	emf-ecore
BasicEObject	BasicEObject_EDynamicIsSet_AfterSetTrue	dynamic_eobject::edynamic_is_set_after_set_true	emf-ecore
BasicEObject	BasicEObject_EDynamicUnset_ClearsValue	dynamic_eobject::edynamic_unset_clears_value	emf-ecore
BasicEObject	BasicEObject_EDynamicUnset_NotPreviouslySet_NoOp	dynamic_eobject::edynamic_unset_not_previously_set_no_op	emf-ecore
